system,d0,d0_error,gamma,anisotropy,component_fraction,peak_to_bg
Tribonacci,0.6335330751089573,0.006624672572953929,-0.3006846769734536,2.2786792368468305,0.19,6.568193355272593
Fibonacci,0.9511877559238219,0.004176990665390873,-0.3094243887287422,752670370370.3657,0.5891666666666666,2.532034461809261
ThueMorse,nan,nan,-0.2919178138577219,999999999999.9998,0.0025,2.5271611686893762
Sturmian,0.9507584130785389,0.0026759388695664875,-0.3094243887287422,752670370370.3657,0.5891666666666666,2.532034461809261
