System,Strict_Pisot,Dominant_Eigenvalue,Wandering_Gamma,Correlation_D2,Sequence_Length
Tribonacci,True,1.8392867552141616,-0.004789001539015024,1.862115828332135,927
Fibonacci,True,1.618033988749895,-0.014437956814958264,0.9896307152561843,987
Sturmian,True,4.23606797749979,-0.0010094292141140297,0.9763056563151978,28657
ThueMorse,True,2.0,-3.7931871430141444e-17,0.0,2048
