System,Strict_Pisot,Wandering_Gamma,Correlation_D2,Sequence_Length
Tribonacci,True,-0.004789001539015024,1.8357628959149652,927
Fibonacci,True,-0.014437956814958247,0.9788836262029746,987
Sturmian,True,-0.0010094292141118225,0.9828831515194201,28657
ThueMorse,True,-2.722267731765837e-17,0.0,2048
